txn_id,timestamp,sender_account,receiver_account,amount,txn_type,channel,status,description,is_fraud,fraud_type
f0515953-51f7-477b-be77-b28dbded5fe2,2025-12-20 00:00:14.000000,ACC2193448329,ACC4658080160,58994.01,NEFT,NETBANKING,SUCCESS,Office rent,False,
483fdaf9-2c95-4025-aa66-a1b4a8f463fd,2025-12-20 00:12:19.000000,ACC6534540349,ACC3667292043,8008.02,IMPS,API,SUCCESS,Office rent,False,
355626ab-a178-417c-b81b-942779f6a758,2025-12-20 00:21:54.000000,ACC4639017775,ACC2137651678,80556.22,INTERNAL,MOBILE,SUCCESS,EMI payment,False,
c16694b5-9535-46df-8546-3c80feba20dc,2025-12-20 00:36:33.000000,ACC4433026356,ACC5418232833,28225.74,UPI,BRANCH,SUCCESS,Utility bill,False,
a987be6b-1762-40c1-a984-df8c6dd036b9,2025-12-20 01:01:03.000000,ACC7105574449,ACC5054834021,100000.0,UPI,MOBILE,SUCCESS,Service charge,False,
50879078-65cf-4835-89c0-059cf6ec6b5c,2025-12-20 03:44:58.000000,ACC3719679239,ACC4645120421,43426.45,UPI,NETBANKING,SUCCESS,FD maturity credit,False,
4fb6e2b5-8126-476a-8497-f00875f3bb01,2025-12-20 04:11:33.000000,ACC9259157845,ACC4145461251,32678.6,INTERNAL,BRANCH,SUCCESS,EMI payment,False,
4c17a662-a922-40e5-84f6-3df384eb430c,2025-12-20 04:15:24.000000,ACC4518871744,ACC9201789018,578015.52,IMPS,MOBILE,SUCCESS,Office rent,False,
205339c2-b96d-4331-be26-ebcc8c516a8b,2025-12-20 05:04:54.000000,ACC9935429720,ACC4361393222,8289.98,IMPS,BRANCH,SUCCESS,Maintenance fee,False,
a7613f11-381a-4f88-b814-2db7808d8d1c,2025-12-20 05:09:52.000000,ACC8953271391,ACC1041531046,200000.0,RTGS,ATM,SUCCESS,Supplier invoice,False,
4d7ef3a0-20df-4ef8-92ee-509b15a95021,2025-12-20 06:06:51.000000,ACC1662976399,ACC2849785671,200000.0,RTGS,BRANCH,SUCCESS,Inter-branch transfer,False,
e277a7c7-4685-4b48-a99b-3745bfd44f63,2025-12-20 06:47:51.000000,ACC1939042955,ACC6463640105,15183.06,INTERNAL,MOBILE,FAILED,Travel reimbursement,False,
1cbb716f-a75d-4a2c-93f5-4034fb2af292,2025-12-20 07:38:25.000000,ACC7059376953,ACC6924716023,100000.0,UPI,MOBILE,SUCCESS,Travel reimbursement,False,
812ae1c8-0bb7-4481-b6bb-45f98c2d3bfd,2025-12-20 08:41:26.000000,ACC3381183483,ACC1540137296,100000.0,UPI,NETBANKING,SUCCESS,Audit payment,False,
f017a817-1489-4af6-9100-964868bdab5c,2025-12-20 09:07:21.000000,ACC1225953184,ACC1251837136,13909.09,INTERNAL,NETBANKING,SUCCESS,Staff salary,False,
e0428720-f051-42d0-8319-f260bd4c9932,2025-12-20 09:11:33.000000,ACC5916199809,ACC7887897660,335142.53,NEFT,NETBANKING,SUCCESS,Material purchase,False,
f6c4ff18-f2d5-4fed-8d66-cb747724e410,2025-12-20 09:19:28.000000,ACC3303082117,ACC1678500147,24672.78,IMPS,MOBILE,SUCCESS,Freelance payment,False,
e35eccba-32d5-4587-977c-add4cf6de15e,2025-12-20 09:54:20.000000,ACC2753617371,ACC4776677517,345805.25,INTERNAL,BRANCH,SUCCESS,Consulting fee,False,
